approval_profile,description
CM-WR-DS-GO,DISTRIBUTION-GOMBAK-REGION
CM-WR-DS-HL,DISTRIBUTION-HULU LANGAT-REGION
CM-WR-DS-HS,DISTRIBUTION-HULU SELANGOR-REGION
CM-WR-DS-K,DISTRIBUTION-KLANG-REGION
CM-WR-DS-KL,DISTRIBUTION-KUALA LUMPUR-REGION
CM-WR-DS-KS,DISTRIBUTION-KUALA SELANGOR-REGION
CM-WR-DS-KU,DISTRIBUTION-KUALA LANGAT-REGION
CM-WR-DS-PT,DISTRIBUTION-PETALING-REGION
CM-WR-DS-SB,DISTRIBUTION-SABAK BERNAM-REGION
CM-WR-DS-SP,DISTRIBUTION-SEPANG-REGION
CM-WR-ES-D-GO,ENGINEERING SERVICES-DISTRIBUTION-GOMBAK-REGION
CM-WR-ES-D-HL,ENGINEERING SERVICES-DISTRIBUTION-HULU LANGAT-REGION
CM-WR-ES-D-HQ,ENGINEERING SERVICES-DISTRIBUTION-HQ
CM-WR-ES-D-HS,ENGINEERING SERVICES-DISTRIBUTION-HULU SELANGOR-REGION
CM-WR-ES-D-K,ENGINEERING SERVICES-DISTRIBUTION-KLANG-REGION
CM-WR-ES-D-KL,ENGINEERING SERVICES-DISTRIBUTION-KUALA LUMPUR-REGION
CM-WR-ES-D-KS,ENGINEERING SERVICES-DISTRIBUTION-KUALA SELANGOR-REGION
CM-WR-ES-D-KU,ENGINEERING SERVICES-DISTRIBUTION-KUALA LANGAT-REGION
CM-WR-ES-D-PT,ENGINEERING SERVICES-DISTRIBUTION-PETALING-REGION
CM-WR-ES-D-SB,ENGINEERING SERVICES-DISTRIBUTION-SABAK BERNAM-REGION
CM-WR-ES-D-SP,ENGINEERING SERVICES-DISTRIBUTION-SEPANG-REGION
CM-WR-ES-P-WTP-N,ENGINEERING SERVICES-PRODUCTION-WTP-NORTH-REGION
CM-WR-ES-P-WTP-S,ENGINEERING SERVICES-PRODUCTION-WTP-SOUTH-REGION
CM-WR-FS-ALL-REGION,FLEET SERVICES-ALL REGION
CM-WR-FS-WTP,FLEET SERVICES-WTP
CM-WR-NRW-DMZ-GO,NRW-DISTRICT METERING ZONE-GOMBAK-REGION
CM-WR-NRW-DMZ-HL,NRW-DISTRICT METERING ZONE-HULU LANGAT-REGION
CM-WR-NRW-DMZ-HQ,NRW-DISTRICT METERING ZONE-HQ
CM-WR-NRW-DMZ-HS,NRW-DISTRICT METERING ZONE-HULU SELANGOR-REGION
CM-WR-NRW-DMZ-K,NRW-DISTRICT METERING ZONE-KLANG-REGION
CM-WR-NRW-DMZ-KG,NRW-DISTRICT METERING ZONE-KUALA LANGAT-REGION
CM-WR-NRW-DMZ-KL,NRW-DISTRICT METERING ZONE-KUALA LUMPUR-REGION
CM-WR-NRW-DMZ-KS,NRW-DISTRICT METERING ZONE-KUALA SELANGOR-REGION
CM-WR-NRW-DMZ-PT,NRW-DISTRICT METERING ZONE-PETALING-REGION
CM-WR-NRW-DMZ-SB,NRW-DISTRICT METERING ZONE-SABAK BERNAM-REGION
CM-WR-NRW-DMZ-SP,NRW-DISTRICT METERING ZONE-SEPANG-REGION
CM-WR-NRW-PT-HQ,NRW-PRESSURE TRANSIENT-HQ
CM-WR-NRW-WBA-HQ,NRW-WATER BALANCE AREA-HQ-ALL-REGION
CM-WR-PD-N-HQ,PRODUCTION-HQ
CM-WR-PD-WTP-N,PRODUCTION-WTP-NORTH
CM-WR-PD-WTP-S,PRODUCTION-WTP-SOUTH
CM-WR-SCADA-GO,SCADA-INSTRUMENTATION-GOMBAK-REGION
CM-WR-SCADA-HL,SCADA-INSTRUMENTATION-HULU LANGAT-REGION
CM-WR-SCADA-HQ,SCADA-INSTRUMENTATION-HQ
CM-WR-SCADA-HS,SCADA-INSTRUMENTATION-HULU SELANGOR-REGION
CM-WR-SCADA-K,SCADA-INSTRUMENTATION-KLANG-REGION
CM-WR-SCADA-KG,SCADA-INSTRUMENTATION-KUALA LANGAT-REGION
CM-WR-SCADA-KL,SCADA-INSTRUMENTATION-KUALA LUMPUR-REGION
CM-WR-SCADA-KS,SCADA-INSTRUMENTATION-KUALA SELANGOR-REGION
CM-WR-SCADA-PT,SCADA-INSTRUMENTATION-PETALING-REGION
CM-WR-SCADA-SB,SCADA-INSTRUMENTATION-SABAK-BERNAM-REGION
CM-WR-SCADA-SP,SCADA-INSTRUMENTATION-SEPANG-REGION
CM-WR-SO-HQ,STRATEGIC OPERATION-HQ
CM-WR-WQ-LS-N,LABORATORY SERVICES-NORTH-REGION
CM-WR-WQ-LS-S,LABORATORY SERVICES-SOUTH-REGION
CM-WR-WQ-MR-HQ,WATER QUALITY-MONITORING AND REPORTING-HQ
CM-WR-WQ-S-HQ,WATER QUALITY-SURVEILLANCE-HQ
