attribute_field_name,characteristic_value
manufacturer,ABB             
manufacturer,SIEMENS         
manufacturer,KROHNE          
manufacturer,KHORNE          
manufacturer,HTM             
manufacturer,ENDRESS-HAUSER  
water_asset_category,1               
water_asset_category,10              
water_asset_category,11              
water_asset_category,12              
water_asset_category,13              
water_asset_category,14              
water_asset_category,15              
water_asset_category,2               
water_asset_category,3               
water_asset_category,4               
water_asset_category,5               
water_asset_category,6               
water_asset_category,7               
water_asset_category,8               
water_asset_category,9               
vehicle_insurance_vendor,MSIG            
vehicle_insurance_vendor,KURNIA          
manufacturer,AUMAN           
vehicle_insurance_vendor,AFFIN           
manufacturer,SDLG            
vehicle_owner_status,PRVC            
vehicle_insurance_vendor,TMIM            
manufacturer,ARTIC           
manufacturer,VIOLA-3G        
manufacturer,ARCTIC          
manufacturer,AXE             
manufacturer,I2O             
manufacturer,KINGFISHER      
manufacturer,MOX             
manufacturer,PATRIOT         
manufacturer,PHOCOS          
manufacturer,SOLARCON        
manufacturer,STECA           
manufacturer,TBOX            
manufacturer,LYE             
manufacturer,AVA             
manufacturer,SM              
manufacturer,AVR             
manufacturer,KLS             
manufacturer,JOHNIRON        
manufacturer,TVT             
manufacturer,NA              
manufacturer,IVECO           
vehicle_insurance_vendor,ETIQA           
manufacturer,SCANPLC         
vehicle_insurance_vendor,LONPAC          
vehicle_owner_status,PRCR            
vehicle_registration_owner,SPLASH          
manufacturer,BKZ             
manufacturer,BMW             
manufacturer,CASE            
manufacturer,DYNAPIC         
manufacturer,FORD            
manufacturer,FORKLIFT        
manufacturer,HICOM           
manufacturer,HINO            
manufacturer,HONDA           
manufacturer,ISUZU           
manufacturer,JOHN DEERE      
manufacturer,KAWASAKI        
manufacturer,KIA             
manufacturer,LEXUS           
manufacturer,MITSUBISHI      
manufacturer,MODENAS         
manufacturer,NAZA            
manufacturer,NIEHIYU         
manufacturer,NISSAN          
manufacturer,PERODUA         
manufacturer,PROTON          
manufacturer,SCANIA          
manufacturer,SEWENG          
manufacturer,SUNNEYENG       
manufacturer,TOYOTA          
manufacturer,TRUCKQUIP       
manufacturer,UMW             
manufacturer,VOLKSWEGAN      
manufacturer,WATERCRAFT      
manufacturer,YALE            
manufacturer,YAMAHA          
vehicle_insurance_vendor,ALLIANZ         
vehicle_registration_owner,SBASSB          
vehicle_owner_status,SORP            
vehicle_registration_owner,KASSB           
vehicle_registration_owner,PNSB            
vehicle_registration_owner,KASB            
vehicle_registration_owner,KDEB            
vehicle_registration_owner,PASSB           
vehicle_insurance_policy_type,COMPREHENSIVE   
vehicle_insurance_policy_type,3RDPARTY        
